RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned
2790,15747503,Hayward,705,Spain,Male,44,0,184552.12,1,1,0,68860.3,1,1,3,DIAMOND,295
3361,15726796,Brabyn,844,France,Male,38,7,111501.66,1,1,1,119333.38,0,0,5,SILVER,962
5492,15639278,Chinomso,580,Germany,Female,36,6,145387.32,2,1,1,169963.2,1,1,3,DIAMOND,635
4667,15691875,Tsou,850,Germany,Female,39,5,114491.82,1,1,0,99689.48,0,0,2,PLATINUM,949
9176,15703413,Montes,519,France,Female,38,7,125328.56,1,1,0,188225.67,0,0,4,PLATINUM,545
5120,15668142,Chang,700,France,Male,37,3,77608.46,2,1,1,175373.46,0,0,1,SILVER,389
4954,15684516,Plascencia,629,Spain,Male,34,1,121151.05,1,0,0,119357.93,0,0,1,PLATINUM,938
4060,15691952,Fanucci,676,France,Male,37,10,106242.67,1,1,1,166678.28,0,0,5,GOLD,560
3431,15780925,Tretyakova,625,France,Male,37,1,177069.24,2,1,1,96088.54,0,0,5,GOLD,446
5299,15794187,Young,695,France,Male,36,6,114007.5,2,1,0,118120.88,0,0,1,DIAMOND,533
566,15811773,Hsia,543,France,Male,36,4,0.0,2,1,1,141210.5,0,0,1,GOLD,354
321,15810834,Gordon,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0,0,5,PLATINUM,337
8429,15566735,Obialo,548,Germany,Female,36,2,108913.84,2,1,1,140460.01,0,0,4,SILVER,800
7254,15734649,Martel,779,Spain,Female,55,0,133295.98,1,1,0,22832.71,1,1,2,DIAMOND,384
621,15682585,Guerra,593,France,Male,35,9,114193.24,1,1,0,71154.1,0,0,5,DIAMOND,660
9599,15666767,Lori,508,France,Male,35,1,86893.28,1,0,0,59374.82,0,0,2,SILVER,408
8707,15717770,Marcelo,850,Spain,Female,55,7,0.0,1,0,0,171762.87,1,1,3,SILVER,987
2017,15633612,Yuryeva,696,France,Male,28,4,172646.82,1,1,1,116471.43,0,0,4,DIAMOND,441
2557,15567486,Li,634,Spain,Female,41,4,0.0,2,1,1,164549.74,0,0,4,DIAMOND,311
4325,15577970,Alexeeva,489,France,Male,34,5,0.0,1,0,0,43540.59,0,0,5,PLATINUM,583
1508,15577274,Genovese,549,Germany,Female,43,3,134985.66,1,1,0,6101.41,0,0,3,PLATINUM,903
1487,15626710,Yudina,642,France,Female,39,4,0.0,1,1,1,76821.24,0,0,4,PLATINUM,445
3042,15783029,Monaldo,671,France,Male,34,7,106603.74,2,1,1,26387.71,0,0,4,GOLD,303
5564,15724684,Sung,610,Spain,Male,46,5,91897.8,1,1,0,54394.28,0,0,1,SILVER,914
9571,15624936,Yen,631,France,Male,35,8,129205.49,1,1,1,79146.36,0,0,2,SILVER,460
3368,15648881,Tsai,581,Germany,Male,40,0,101016.53,1,0,1,7926.35,1,1,3,SILVER,783
1926,15757931,Fang,804,France,Male,24,3,0.0,2,1,0,173195.33,0,0,4,SILVER,335
1256,15615032,Peng,624,Spain,Male,46,3,0.0,2,1,1,62825.03,0,0,2,SILVER,591
1931,15627262,Soto,536,Germany,Male,23,6,92366.72,2,1,0,120661.71,0,0,2,DIAMOND,733
2505,15625942,McDonald,619,Spain,Female,45,0,0.0,2,0,0,113645.4,0,0,4,SILVER,315
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0,1,GOLD,249
6931,15680685,Patterson,751,France,Male,30,3,165257.2,1,0,0,134822.05,0,0,5,GOLD,485
9276,15749265,Carslaw,427,Germany,Male,42,1,75681.52,1,1,1,57098.0,0,0,5,SILVER,418
8549,15806546,Lucas,517,Spain,Male,46,4,0.0,1,1,0,22372.78,0,0,1,PLATINUM,465
4965,15574761,Lynch,466,France,Female,41,3,33563.95,2,1,0,178994.13,1,1,1,DIAMOND,629
6725,15756625,Crawford,752,France,Female,41,8,0.0,2,1,0,139844.04,1,1,1,SILVER,300
6274,15576935,Ampt,743,Spain,Male,43,2,161807.18,2,0,1,93228.86,1,1,5,GOLD,973
6209,15729804,Manfrin,714,France,Male,34,10,0.0,2,1,1,80234.14,0,0,3,DIAMOND,688
9568,15696733,McKenzie,724,France,Male,29,4,0.0,1,1,0,8982.75,0,0,5,GOLD,881
370,15583303,Monaldo,593,France,Female,29,2,152265.43,1,1,0,34004.44,0,0,1,SILVER,907
2810,15757001,Mai,624,France,Female,32,2,79368.87,2,1,1,145471.94,0,0,1,SILVER,994
3366,15764431,Chinwenma,671,Spain,Female,34,5,130929.02,4,1,1,28238.25,1,1,1,PLATINUM,586
4355,15612893,Nelson,558,Spain,Male,45,4,0.0,1,1,0,131807.14,0,0,4,GOLD,248
9920,15798084,Murray,688,France,Male,26,0,0.0,2,1,0,105784.85,0,0,4,PLATINUM,827
7240,15772329,Fiorentino,580,Germany,Male,45,8,103741.14,1,1,0,47428.73,1,1,4,GOLD,799
3873,15620123,Christie,605,France,Male,39,6,111169.91,1,0,0,9641.4,0,0,5,SILVER,642
8595,15672930,Palerma,722,Spain,Male,37,9,0.0,2,1,0,31921.95,0,0,4,GOLD,379
4922,15748414,Chiang,526,Spain,Female,33,8,114634.63,2,1,0,110114.38,1,1,2,SILVER,624
3164,15801336,Ch'ang,649,Germany,Female,37,8,114737.26,1,1,1,106655.88,1,1,1,DIAMOND,381
4974,15596962,Owens,617,France,Female,24,4,137295.19,2,1,1,91195.12,0,0,1,PLATINUM,598
4421,15571261,Toscani,714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0,0,2,DIAMOND,352
3108,15697424,Ku,597,Spain,Female,30,2,119370.11,1,1,1,182726.22,1,1,4,SILVER,851
4097,15758775,Vasilyeva,820,Spain,Male,34,10,97208.46,1,1,1,59553.34,0,0,2,GOLD,827
6378,15588904,Balashova,692,France,Male,33,9,0.0,1,1,0,113505.93,1,1,3,PLATINUM,272
6526,15598157,Onyeorulu,728,France,Male,34,4,106328.08,1,1,0,88680.65,0,0,5,GOLD,709
9103,15810942,Chiemela,445,Germany,Female,61,2,137655.31,1,0,1,29909.84,0,0,3,PLATINUM,335
8525,15711750,Watson,711,France,Female,34,6,0.0,2,1,1,175310.38,0,0,2,DIAMOND,408
9976,15666295,Smith,610,Germany,Male,50,1,113957.01,2,1,0,196526.55,1,1,4,SILVER,264
1983,15756680,Phillips,667,France,Male,28,6,165798.1,1,1,0,147090.9,0,0,5,DIAMOND,404
1214,15624229,Noble,694,France,Female,22,4,0.0,2,1,1,11525.72,0,0,1,GOLD,988
3255,15778368,Allan,552,Germany,Male,50,4,121175.56,1,1,0,117505.07,1,1,1,DIAMOND,662
