RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned
9736,15768495,Chidimma,700,France,Female,32,8,110923.15,2,1,1,161845.81,1,1,2,SILVER,635
495,15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1,1,5,PLATINUM,954
4715,15611024,Kalinina,567,France,Female,23,9,93522.2,1,0,1,81425.61,0,0,5,SILVER,327
2744,15658889,Watson,689,France,Male,22,4,136444.25,1,1,0,51980.25,1,1,1,DIAMOND,919
6992,15752801,Bradshaw,518,Germany,Male,29,9,125961.74,2,1,0,160303.08,1,1,3,DIAMOND,586
6648,15691627,Tai,713,France,Female,37,8,0.0,1,1,1,16403.41,0,0,2,GOLD,444
5938,15697035,Garrett,740,Spain,Female,31,8,0.0,2,0,0,86657.48,0,0,1,GOLD,814
6623,15679307,Kazantseva,559,France,Female,43,1,0.0,1,0,1,86634.3,0,0,5,PLATINUM,830
7486,15744423,Cocci,561,France,Male,32,5,0.0,2,1,0,84871.99,0,0,4,SILVER,332
5141,15617790,Hanson,626,France,Female,29,4,105767.28,2,0,0,41104.82,0,0,1,PLATINUM,838
6738,15706223,Barnes,715,Spain,Male,38,2,96798.79,2,1,1,4554.67,0,0,2,SILVER,294
2320,15681446,Sun,636,Germany,Female,37,9,157098.52,1,1,1,153535.27,0,0,3,SILVER,638
4213,15773512,Bischof,627,Spain,Female,25,4,0.0,1,1,1,194313.93,0,0,5,SILVER,992
609,15607170,Boyle,699,France,Male,35,5,0.0,2,1,1,78397.24,0,0,2,SILVER,915
2345,15642345,Y?,714,Germany,Female,49,4,93059.34,1,1,0,7571.51,1,1,4,PLATINUM,381
3935,15705765,Lane,581,Spain,Female,46,1,0.0,2,1,0,104272.04,0,0,5,PLATINUM,790
7035,15767264,Lawson,465,Germany,Male,53,1,117438.17,1,0,0,74898.8,1,1,2,SILVER,954
3422,15767722,Richardson,593,France,Female,39,0,117704.73,1,1,0,197933.5,0,0,4,DIAMOND,694
814,15775306,Ni,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1,1,4,SILVER,237
6537,15756743,Howells,625,France,Female,37,7,115895.42,1,1,0,48486.25,0,0,5,GOLD,973
4403,15720637,Bell,710,Germany,Female,46,10,120530.34,1,1,0,166586.99,1,1,4,DIAMOND,977
8902,15633474,Whitehead,586,France,Male,51,2,138553.57,1,1,1,92406.22,0,0,4,DIAMOND,832
635,15738181,Douglas,850,France,Male,31,6,67996.23,2,0,0,50129.87,1,1,3,DIAMOND,895
9096,15718839,Tsui,850,Germany,Female,38,2,102741.15,2,0,1,23974.85,0,0,4,SILVER,264
5015,15773731,John,758,Spain,Female,35,5,0.0,2,0,0,100365.51,0,0,1,DIAMOND,833
5982,15801296,Farber,634,Germany,Female,37,7,143258.85,2,1,0,192721.98,0,0,2,DIAMOND,760
9780,15712568,Angelo,515,Spain,Male,40,10,121355.99,1,1,0,138360.29,0,0,5,GOLD,870
5674,15572801,Krischock,639,Spain,Male,34,5,139393.19,2,0,0,33950.08,0,0,2,DIAMOND,883
1888,15680918,Freeman,613,Spain,Male,34,8,117300.02,1,1,0,139410.08,0,0,5,SILVER,572
4401,15567063,Manna,766,Germany,Female,34,6,106434.94,1,0,1,137995.66,1,1,1,DIAMOND,384
8459,15728542,Vorobyova,850,France,Female,71,4,0.0,2,1,1,107236.87,0,0,3,PLATINUM,518
4732,15622230,Cribb,705,France,Female,35,3,0.0,2,0,1,66331.01,0,0,3,GOLD,547
2445,15572461,Kung,663,Germany,Female,29,4,102714.65,2,0,0,21170.81,0,0,4,PLATINUM,368
2710,15780212,Mao,592,France,Male,37,4,212692.97,1,0,0,176395.02,0,0,1,GOLD,232
300,15811490,French,627,France,Male,33,5,0.0,2,1,1,103737.82,0,0,4,PLATINUM,499
3064,15578738,Tuan,609,France,Male,32,7,71872.19,1,1,1,151924.9,0,0,2,SILVER,484
5804,15672053,Mistry,526,Spain,Male,38,2,0.0,2,0,0,58010.98,0,0,5,SILVER,708
8336,15737414,Shen,647,France,Male,35,4,123761.68,1,1,0,83910.4,0,0,4,PLATINUM,713
3559,15786392,Chen,765,France,Male,41,4,124182.21,1,0,0,100153.43,0,0,1,SILVER,318
3363,15652192,Traeger,759,France,Female,33,9,160541.36,2,0,0,93541.14,0,0,4,SILVER,497
4261,15664555,Hughes,587,France,Male,40,2,0.0,4,0,1,106174.7,1,1,2,PLATINUM,826
8911,15744873,Wright,657,Germany,Female,48,5,143595.87,1,0,0,101314.65,1,1,4,PLATINUM,944
6892,15760865,Fan,754,Germany,Female,48,7,141819.02,1,1,0,93550.53,1,1,5,DIAMOND,671
5562,15583073,Martin,771,Spain,Female,56,2,0.0,1,1,1,25222.6,1,1,4,GOLD,503
556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,1,1,SILVER,759
902,15709737,Hunter,643,France,Male,36,7,161064.64,2,0,1,84294.82,0,0,1,SILVER,233
7187,15565996,Arnold,653,France,Male,44,8,0.0,2,1,1,154639.72,0,0,3,PLATINUM,382
1121,15589358,Stanley,848,Germany,Male,31,4,90018.45,2,1,0,193132.98,0,0,2,PLATINUM,795
9155,15690337,Chinwenma,581,France,Female,27,5,102258.11,2,1,0,194681.6,0,0,2,PLATINUM,564
5833,15607786,Mao,709,France,Male,26,6,156551.63,1,0,1,4410.77,0,0,1,DIAMOND,772
3040,15666141,Baldwin,829,Spain,Female,26,8,101440.36,2,1,1,19324.5,0,0,5,DIAMOND,596
7043,15617348,Uchechukwu,544,France,Male,44,1,0.0,2,0,0,69244.24,0,0,2,GOLD,926
3348,15694510,Ifeanyichukwu,725,France,Male,45,1,129855.32,1,0,0,24218.65,0,0,2,SILVER,917
1014,15603594,Nwankwo,635,Spain,Male,24,4,0.0,2,1,1,70668.77,0,0,2,GOLD,506
4755,15595592,Lai,708,France,Female,59,2,0.0,1,1,0,179673.11,1,1,4,SILVER,421
7494,15683276,Sargood,610,Spain,Female,37,10,140363.95,2,1,1,129563.86,0,0,3,GOLD,929
3545,15642655,Savage,731,Spain,Male,33,1,0.0,1,1,0,130726.96,0,0,1,GOLD,462
3192,15760570,Stephenson,590,France,Male,32,5,0.0,2,1,0,59249.83,0,0,4,GOLD,676
8954,15592925,Giordano,711,Spain,Male,42,3,177626.77,3,0,1,16392.72,1,1,1,PLATINUM,788
1643,15683544,Buccho,626,Spain,Male,62,3,0.0,1,1,1,65010.74,0,0,1,PLATINUM,930
8601,15755405,Hudson,710,France,Male,43,9,128284.45,1,1,0,32996.89,1,1,5,PLATINUM,538
8831,15810444,Aksenov,562,Germany,Female,39,6,130565.02,1,1,0,9854.72,1,1,5,DIAMOND,481
7566,15623369,Clifton,708,France,Male,52,10,105355.81,1,1,0,123.07,1,1,3,PLATINUM,755
2850,15579262,Shearston,497,France,Male,41,9,0.0,1,0,0,22074.48,0,0,1,PLATINUM,1000
449,15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777.0,1,1,5,PLATINUM,543
3842,15750778,Ponomarev,653,France,Female,60,2,120731.39,4,1,1,138160.11,1,1,4,GOLD,663
1110,15616330,Liao,595,France,Male,31,4,0.0,2,1,0,189995.86,0,0,2,PLATINUM,511
8235,15677796,Becher,766,Germany,Male,47,9,129289.98,1,1,0,169935.46,1,1,4,PLATINUM,286
7010,15644446,Norton,672,France,Female,28,6,0.0,1,0,1,8814.69,0,0,3,PLATINUM,629
5353,15675749,Baranov,695,France,Female,23,1,0.0,2,1,1,141756.32,0,0,1,GOLD,596
2084,15779738,Buccho,534,France,Male,24,1,0.0,1,1,1,169653.32,0,0,4,GOLD,867
5336,15596649,Bailey,651,France,Female,39,8,0.0,1,1,0,137452.57,0,0,3,DIAMOND,956
6730,15619608,Ojiofor,454,Germany,Female,50,10,92895.56,1,1,0,154344.0,1,1,3,DIAMOND,445
6757,15659567,Ch'iu,473,France,Female,39,9,117103.26,2,1,1,85937.52,1,1,2,DIAMOND,324
734,15744607,Martin,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1,1,5,DIAMOND,912
8130,15729246,Hardacre,847,Spain,Male,31,5,0.0,2,1,1,76326.67,0,0,4,SILVER,791
8380,15745266,Norman,434,Spain,Male,55,6,0.0,1,0,1,73562.05,1,1,5,PLATINUM,821
670,15662397,Small,640,France,Female,42,5,176099.13,1,1,1,8404.73,0,0,5,PLATINUM,380
327,15601848,Scott,594,France,Male,35,2,0.0,2,1,0,103480.69,0,0,4,DIAMOND,378
4219,15782418,Ku,589,Germany,Female,19,9,83495.11,1,1,1,143022.31,1,1,4,GOLD,747
5539,15687094,Calabresi,717,Germany,Female,28,9,82498.14,2,0,0,40437.67,0,0,5,GOLD,270
9382,15756148,Nnanna,765,Spain,Male,45,2,91549.78,1,1,1,47139.44,0,0,3,PLATINUM,926
4357,15693326,Whitehouse,641,France,Female,42,7,125437.14,2,0,0,164128.58,0,0,3,PLATINUM,551
4797,15765457,Fowler,719,Spain,Male,35,1,100829.94,1,1,1,165008.97,0,0,3,GOLD,657
2873,15671591,Castiglione,439,Spain,Male,52,3,96196.24,4,1,0,198874.52,1,1,1,GOLD,397
1638,15678626,Okonkwo,538,Spain,Female,31,0,0.0,2,0,0,179453.66,0,0,5,SILVER,798
6074,15586039,Bergamaschi,471,Germany,Female,36,5,90063.74,2,1,1,96366.7,0,0,1,SILVER,368
2657,15713267,Zimmer,779,Spain,Female,34,5,0.0,2,0,1,111676.63,0,0,1,SILVER,945
3807,15740383,Jimenez,594,Spain,Female,38,10,0.0,2,1,0,58332.91,0,0,3,PLATINUM,827
4896,15589435,Davide,784,France,Male,31,7,0.0,2,1,1,143204.41,0,0,1,GOLD,674
3691,15654959,Hope,670,Spain,Male,67,6,158719.57,1,1,1,118607.4,0,0,3,SILVER,392
3963,15600911,Mbadiwe,712,France,Male,33,2,182888.08,1,1,0,3061.0,0,0,1,SILVER,278
7642,15667460,Moore,797,France,Male,31,9,0.0,2,1,1,24748.89,0,0,1,PLATINUM,874
9282,15679966,Marsh,661,France,Female,31,3,133964.3,1,1,1,166187.1,0,0,2,PLATINUM,508
3188,15713912,Nebechukwu,516,Spain,Female,45,8,109044.3,1,0,1,115818.16,0,0,5,GOLD,229
7370,15757188,Chimaijem,644,Spain,Female,26,4,153455.72,2,1,1,82696.84,0,0,5,PLATINUM,944
2631,15600879,Parsons,554,Germany,Female,36,3,157780.93,2,1,0,6089.13,0,0,3,DIAMOND,530
8496,15801436,K'ung,696,France,Male,42,4,0.0,1,0,0,126353.13,1,1,3,GOLD,255
1908,15810786,O'Toole,620,France,Female,67,3,0.0,2,1,1,43486.73,0,0,5,GOLD,404
9620,15779973,Gibbons,684,Germany,Male,35,3,99967.76,1,1,1,176882.08,0,0,1,SILVER,606
