RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned
8635,15656141,Ts'ao,741,France,Male,39,5,0.0,1,0,1,40207.06,0,0,1,SILVER,933
8126,15666982,Spears,629,Germany,Female,38,9,123948.85,1,1,0,76053.07,0,0,5,DIAMOND,564
2539,15752838,Lucas,723,Spain,Male,38,6,0.0,2,1,1,94415.6,0,0,2,PLATINUM,500
462,15718443,Chibuzo,539,France,Male,39,3,0.0,2,1,0,36692.17,0,0,1,SILVER,426
4127,15664759,Lamb,675,Spain,Male,32,10,0.0,2,1,0,191545.65,0,0,3,GOLD,610
9356,15621870,Hawkins,739,Spain,Female,40,8,0.0,1,1,0,167030.51,0,0,5,PLATINUM,836
8163,15647333,Fleming,621,France,Male,27,4,137003.68,1,1,0,21254.06,0,0,4,SILVER,609
6385,15812073,Palmer,529,France,Female,31,7,0.0,2,1,1,175697.87,0,0,3,SILVER,578
1435,15714993,Longo,552,France,Female,41,9,124349.34,1,1,0,135635.25,0,0,3,DIAMOND,539
8738,15780498,Maynard,634,France,Male,34,3,145030.92,1,1,1,41820.65,0,0,5,DIAMOND,529
231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0,3,SILVER,865
351,15659420,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0,0,3,DIAMOND,683
960,15628034,Wilder,629,France,Female,37,6,129101.3,1,1,1,23971.33,0,0,1,DIAMOND,330
6294,15783083,Shubin,534,France,Male,27,9,0.0,2,1,0,161344.13,0,0,2,PLATINUM,925
6125,15643359,Carter,736,Spain,Male,32,7,0.0,1,0,1,79082.62,0,0,2,DIAMOND,925
6122,15607629,Hollis,679,France,Male,48,8,0.0,2,1,0,23344.94,0,0,2,SILVER,609
2233,15671969,Pruneda,649,Spain,Male,36,8,0.0,2,1,0,161668.15,0,0,3,GOLD,354
3243,15729908,Allan,411,France,Female,36,10,0.0,1,0,0,120694.35,0,0,2,PLATINUM,329
2837,15768455,Young,679,France,Male,60,8,0.0,2,1,1,51380.9,0,0,4,SILVER,797
4612,15710553,Yin,555,Germany,Male,48,3,142055.41,2,0,1,79134.78,0,0,3,SILVER,263
3266,15671249,Kent,422,France,Female,33,2,0.0,2,1,0,102655.31,0,0,4,SILVER,332
1020,15600583,Garner,633,France,Male,31,1,0.0,1,1,0,48606.71,0,0,3,GOLD,804
1992,15570859,Froggatt,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0,0,1,DIAMOND,267
1160,15690664,Liang,729,Spain,Male,37,10,0.0,2,1,0,100862.54,0,0,3,SILVER,829
3563,15723263,Cocci,495,Germany,Female,34,9,117160.32,1,1,1,116069.24,1,1,1,DIAMOND,715
2491,15633141,Robinson,696,Germany,Female,35,4,174902.26,1,1,0,69079.85,0,0,2,PLATINUM,720
6452,15722583,Benjamin,636,Spain,Female,29,6,157576.47,2,1,1,101102.39,0,0,1,PLATINUM,332
8803,15714642,Hawkins,792,Spain,Female,40,7,0.0,1,1,0,141652.2,0,0,1,DIAMOND,538
8214,15748352,Endrizzi,598,Spain,Male,34,0,104488.17,1,0,1,43249.67,0,0,5,SILVER,547
9447,15580953,Forbes,544,France,Male,30,4,73218.89,1,0,1,126796.69,0,0,2,SILVER,846
4124,15648225,Shephard,652,Spain,Female,38,1,103895.31,1,0,1,159649.44,0,0,3,SILVER,607
4747,15649129,Sal,757,France,Male,32,9,0.0,2,1,0,115950.96,0,0,5,DIAMOND,335
565,15788126,Evans,689,Spain,Female,38,6,121021.05,1,1,1,12182.15,0,0,3,SILVER,946
2001,15613656,Lombardi,842,France,Male,58,1,63492.94,1,1,1,83172.19,0,0,4,DIAMOND,354
6637,15792679,Troupe,575,France,Male,24,2,0.0,2,1,1,119927.81,0,0,2,PLATINUM,367
884,15743007,Seabrook,643,France,Female,45,4,45144.43,1,1,0,60917.24,1,1,5,DIAMOND,450
8197,15589312,Larkin,588,France,Male,30,3,115007.08,1,0,0,176858.5,0,0,1,PLATINUM,572
9122,15693526,Ku,618,France,Female,40,0,0.0,1,1,0,119059.13,0,0,5,GOLD,837
6018,15782404,Hughes,487,France,Female,34,2,96019.5,1,0,0,9085.0,0,0,2,GOLD,740
5793,15795186,Leonard,562,France,Male,38,5,0.0,1,1,0,115700.2,0,0,4,PLATINUM,814
7834,15762455,Yeh,624,Spain,Male,33,6,66220.17,1,0,1,170819.01,0,0,5,GOLD,413
1066,15692744,Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1,1,5,DIAMOND,555
8725,15593683,Solomina,668,Spain,Female,30,8,0.0,2,1,0,138465.7,0,0,5,PLATINUM,443
6307,15656471,Mitchell,773,France,Male,33,9,0.0,2,1,1,1118.31,0,0,3,SILVER,289
6601,15697360,Yudina,505,France,Female,36,2,79951.9,1,0,1,174123.16,1,1,4,PLATINUM,253
2668,15591577,Moran,584,France,Male,35,3,146311.58,1,1,1,105443.47,0,0,1,GOLD,292
5662,15613945,Andrews,472,France,Female,26,5,0.0,2,1,0,108411.66,0,0,2,SILVER,893
9795,15659364,Thompson,685,Spain,Male,23,5,164902.43,1,0,0,141152.28,0,0,3,GOLD,492
2730,15608230,Hoelscher,667,France,Male,23,1,0.0,2,1,0,91573.19,0,0,3,SILVER,474
5186,15801169,Yegorova,764,Germany,Female,39,9,138341.51,1,1,0,50072.94,1,1,2,GOLD,699
5628,15695174,Chang,654,France,Male,29,4,132954.64,1,1,1,146715.07,0,0,3,SILVER,810
8325,15803965,Tang,654,France,Male,55,3,87485.67,1,1,1,3299.01,0,0,3,DIAMOND,668
9224,15623489,Tu,543,France,Female,67,0,128843.67,1,1,1,134612.48,0,0,3,SILVER,809
6925,15799924,Sanchez,668,Spain,Male,43,1,147167.25,1,0,0,141679.73,0,0,1,DIAMOND,431
5018,15777599,Esposito,746,Germany,Male,34,6,141806.0,2,1,1,183494.87,0,0,3,SILVER,236
7280,15810485,Sun,486,Germany,Male,37,1,101438.0,1,0,0,51364.56,0,0,3,PLATINUM,512
5543,15664897,Bryant,682,France,Female,35,2,181166.44,1,1,1,63737.19,1,1,4,PLATINUM,944
4094,15798470,Scannell,764,Spain,Female,48,1,75990.97,1,1,0,158323.81,1,1,2,DIAMOND,298
8968,15579131,Ricci,835,France,Male,25,7,0.0,2,1,1,83449.65,0,0,3,SILVER,343
9101,15743075,Ko,659,France,Male,35,6,0.0,2,1,1,58879.11,0,0,1,GOLD,710
1717,15799479,Coles,809,Spain,Male,33,9,0.0,1,1,1,124045.65,0,0,5,GOLD,452
2279,15582960,Short,473,France,Female,33,5,125827.43,1,0,1,145698.73,0,0,5,PLATINUM,299
8180,15576077,Kelly,610,France,Female,27,9,159561.93,1,0,1,103381.47,0,0,3,DIAMOND,513
399,15762218,Mills,701,France,Female,39,9,0.0,2,0,1,145894.9,0,0,2,GOLD,513
9714,15623566,Barnhill,714,France,Male,40,9,46520.69,1,1,1,96687.25,0,0,4,PLATINUM,860
6724,15766810,Onyemauchechi,699,Germany,Female,51,2,92246.14,2,0,1,91346.03,0,0,5,PLATINUM,268
5072,15773277,Barnes,676,France,Male,35,5,106836.67,2,1,0,84199.78,0,0,3,DIAMOND,871
5384,15586425,Lo Duca,579,France,Male,28,4,0.0,2,1,1,176925.69,0,0,3,DIAMOND,623
5736,15756070,Greenwood,585,Spain,Female,44,4,0.0,2,0,1,101728.46,0,0,4,DIAMOND,762
3000,15593014,Evseyev,525,France,Male,33,1,112833.35,1,0,1,175178.56,0,0,3,PLATINUM,590
5673,15622442,Mazzi,619,France,Male,29,5,0.0,2,1,0,194310.1,0,0,1,DIAMOND,775
9376,15641389,Shen,659,Germany,Male,48,4,123593.22,2,1,0,82469.06,1,1,1,PLATINUM,291
2217,15627484,Obielumani,686,France,Female,47,5,113328.93,1,1,0,124170.9,0,0,4,PLATINUM,666
4524,15734202,Chidimma,660,Germany,Female,52,4,86891.84,1,1,0,90877.76,0,0,4,DIAMOND,753
1553,15718779,Clark,780,France,Male,34,1,0.0,1,1,1,64804.04,0,0,1,PLATINUM,885
6591,15674868,Wei,696,Spain,Female,30,0,0.0,2,1,1,9002.8,0,0,5,SILVER,447
8285,15701741,Williams,711,France,Female,39,3,152462.79,1,1,0,90305.97,0,0,5,PLATINUM,851
4696,15786739,Clements,669,France,Male,37,1,125529.55,1,1,1,162260.93,0,0,5,PLATINUM,720
8209,15636551,Nixon,711,France,Female,29,3,130181.47,2,1,0,31811.44,0,0,5,SILVER,719
1593,15729668,Elizabeth,521,Spain,Male,29,3,60280.62,1,1,0,154271.41,0,0,3,DIAMOND,700
7813,15695280,Hung,532,Germany,Male,24,8,142755.25,1,0,0,34231.48,0,0,1,DIAMOND,699
6618,15700826,Ko,678,Germany,Female,54,1,123699.28,2,0,1,105221.76,0,0,1,GOLD,664
7545,15791326,Nnamdi,566,France,Male,34,3,0.0,1,0,0,188135.69,0,0,4,GOLD,999
9801,15640507,Li,762,Spain,Female,35,3,119349.69,3,1,1,47114.18,1,1,5,DIAMOND,253
7951,15806796,Higgins,516,Germany,Female,33,10,138847.9,1,1,1,127256.7,0,0,3,DIAMOND,465
2767,15677217,Ibragimova,705,France,Male,30,1,0.0,1,1,1,181300.32,0,0,5,SILVER,554
7516,15764841,Vidler,623,France,Female,35,0,130557.24,1,1,1,47880.71,0,0,5,DIAMOND,936
778,15628936,Archer,692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1,1,3,SILVER,735
2597,15763665,Y?,833,France,Female,28,4,136674.51,2,0,0,5278.78,0,0,5,GOLD,502
7485,15646563,Wright,772,France,Female,35,9,0.0,1,0,1,25448.31,0,0,2,SILVER,615
7483,15750104,Chan,718,Germany,Male,43,5,132615.73,2,1,0,32999.1,0,0,3,SILVER,795
2786,15771417,Thomas,640,France,Male,43,7,132412.38,1,0,0,69584.3,1,1,5,SILVER,320
1122,15672704,Jackson,809,France,Female,24,4,0.0,2,1,0,193518.76,0,0,1,GOLD,507
