RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned
4605,15731760,Butcher,681,France,Male,25,5,0.0,1,0,1,90860.97,0,0,4,DIAMOND,875
5394,15763327,Craig,835,France,Male,32,8,124993.29,2,1,1,27548.06,0,0,5,PLATINUM,827
4962,15632521,Cattaneo,689,Germany,Male,45,0,130170.82,2,1,0,150856.38,0,0,3,SILVER,855
2862,15711398,Fetherstonhaugh,525,France,Female,25,6,0.0,2,1,0,89566.64,0,0,5,DIAMOND,476
944,15781465,Schofield,675,Germany,Female,29,8,121326.42,1,1,0,133457.52,0,0,2,SILVER,329
5297,15702462,Fiorentini,619,Spain,Female,44,6,52831.13,1,1,1,112649.22,1,1,3,SILVER,245
3475,15778861,Wallace,720,Spain,Male,33,6,97188.62,1,0,0,91881.29,0,0,4,SILVER,605
422,15716186,Richardson,586,France,Female,38,2,0.0,2,1,0,87168.46,0,0,2,SILVER,650
3735,15679733,Haugh,796,Germany,Male,40,2,113228.38,2,1,1,46415.09,0,0,1,PLATINUM,233
2768,15747265,Huang,598,Germany,Female,27,10,171283.91,1,1,1,84136.12,0,0,5,GOLD,508
9638,15803654,Wei,790,France,Female,31,2,151290.16,1,1,1,172437.12,0,0,1,DIAMOND,790
3272,15708791,Abazu,584,Spain,Male,32,9,85534.83,1,0,0,169137.24,0,0,5,PLATINUM,226
4060,15691952,Fanucci,676,France,Male,37,10,106242.67,1,1,1,166678.28,0,0,5,GOLD,560
353,15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0,0,4,PLATINUM,234
9809,15581115,Middleton,603,France,Female,39,9,76769.68,1,0,0,48224.72,0,0,4,DIAMOND,452
9650,15788025,Tseng,715,France,Female,38,0,0.0,2,1,1,332.81,0,0,2,DIAMOND,493
2387,15637240,Wei,541,France,Male,46,4,124547.13,2,1,0,94499.06,0,0,5,GOLD,690
9180,15590888,Wade,693,Spain,Female,34,10,107556.06,2,0,0,154631.35,0,0,5,DIAMOND,711
5837,15617419,Roberts,618,Germany,Female,29,10,100315.1,2,1,1,32526.64,0,0,1,SILVER,812
7039,15668679,Ozerova,630,France,Male,31,0,0.0,2,1,1,34475.14,0,0,2,PLATINUM,252
4000,15665062,Lucchese,696,France,Male,19,1,110928.51,1,1,1,2766.63,0,0,4,PLATINUM,871
360,15592386,Campbell,520,France,Male,58,3,0.0,2,0,1,32790.02,0,0,5,DIAMOND,253
6044,15760851,Gratton,629,France,Male,31,6,0.0,2,1,0,93881.75,0,0,5,SILVER,363
844,15672012,Jen,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1,1,4,DIAMOND,497
8970,15622461,Ndubuagha,562,France,Female,51,7,122822.0,2,0,0,32626.21,0,0,3,GOLD,461
7330,15648876,Sandover,501,France,Female,34,5,0.0,1,1,0,27380.99,0,0,4,PLATINUM,501
3649,15691703,Shih,545,France,Male,47,8,105792.49,1,0,1,67830.2,1,1,5,SILVER,830
2829,15716449,Fraser,527,Spain,Male,33,9,132168.28,1,0,0,98734.15,0,0,3,GOLD,399
6015,15747323,Vasilyeva,535,Spain,Male,48,9,109472.47,1,1,0,157358.43,1,1,2,GOLD,415
9793,15787168,Y?,819,Spain,Female,28,8,168253.21,1,1,1,102799.14,0,0,4,PLATINUM,230
636,15633648,Jideofor,696,Spain,Female,51,5,0.0,2,1,0,55022.43,0,0,4,SILVER,509
4629,15788151,Moore,650,Spain,Male,32,1,132187.73,2,1,1,178331.36,0,0,2,PLATINUM,960
6804,15594515,Cheng,568,France,Female,44,7,0.0,2,0,0,62370.67,1,1,2,SILVER,869
9884,15577695,Zito,678,France,Male,41,2,148088.11,1,1,0,14083.12,0,0,1,SILVER,243
8738,15780498,Maynard,634,France,Male,34,3,145030.92,1,1,1,41820.65,0,0,5,DIAMOND,529
6798,15811978,Trevisani,693,Germany,Male,46,2,104763.41,1,1,1,62368.33,0,0,5,GOLD,872
6740,15769191,Lipton,509,France,Male,55,8,132387.91,2,1,1,170360.11,0,0,1,PLATINUM,913
2891,15689616,Ward,586,Spain,Male,34,5,168094.01,1,0,0,20058.61,0,0,3,GOLD,287
6437,15723216,Greco,623,Germany,Male,33,2,80002.33,1,1,1,104079.62,0,0,2,DIAMOND,343
8164,15572050,Yefimov,768,Germany,Male,48,3,122831.58,1,1,1,24533.89,1,1,2,PLATINUM,813
5770,15611612,Priestley,570,France,Female,29,0,0.0,1,1,0,37092.43,0,0,1,SILVER,392
5308,15728706,Amaechi,534,France,Female,49,7,0.0,1,1,0,13566.48,1,1,4,DIAMOND,921
1819,15800517,Huang,633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0,0,2,PLATINUM,527
8096,15584620,Su,850,Germany,Female,36,6,143644.16,1,1,0,22102.25,1,1,3,PLATINUM,728
1147,15575581,Dickson,614,Germany,Female,30,3,131344.52,2,1,0,54776.64,0,0,2,PLATINUM,636
9312,15608381,Dean,585,Germany,Male,50,2,125845.66,1,1,0,9439.31,1,1,1,PLATINUM,767
407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1,1,5,GOLD,797
2211,15769917,Onyekachi,673,Germany,Female,34,1,127122.79,3,0,1,76703.1,0,0,5,DIAMOND,520
8897,15724691,Gordon,712,France,Male,34,1,0.0,2,1,1,195052.12,0,0,1,PLATINUM,966
2164,15667554,Cameron,605,France,Male,35,6,0.0,2,1,1,45206.57,0,0,3,SILVER,241
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234
7013,15803378,Small,850,Spain,Male,44,8,0.0,2,1,1,183617.32,0,0,1,GOLD,783
6876,15665283,Brookes,610,France,Female,57,7,72092.95,4,0,1,113228.82,1,1,2,GOLD,900
282,15669169,Hargreaves,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0,0,2,DIAMOND,913
932,15700476,Azubuike,564,Germany,Male,41,9,103522.75,2,1,1,34338.21,0,0,1,GOLD,599
9870,15782231,Andrejew,521,France,Male,38,6,0.0,2,1,0,51454.06,0,0,4,SILVER,572
6620,15586517,Toscano,647,France,Male,32,5,97041.16,1,1,1,23132.73,0,0,1,GOLD,596
7069,15730793,Russell,699,Germany,Female,54,3,111009.32,1,1,1,155905.79,1,1,5,DIAMOND,241
9758,15696047,Chimezie,501,France,Male,35,6,99760.84,1,1,1,13591.52,0,0,1,SILVER,310
1651,15718106,Kelley,625,France,Male,34,6,0.0,2,0,0,197283.2,0,0,5,PLATINUM,503
372,15774696,Cole,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0,0,2,PLATINUM,703
8920,15794323,Buckley,673,France,Male,32,8,121240.76,1,1,0,116969.73,0,0,2,DIAMOND,296
5159,15789582,Macleod,587,France,Male,55,9,0.0,1,1,0,64593.07,0,0,1,GOLD,916
8931,15665759,Russell,724,France,Female,69,5,117866.92,1,1,1,62280.91,0,0,3,PLATINUM,876
6752,15735636,Toscano,604,France,Female,53,2,121389.78,1,1,1,48201.64,1,1,1,PLATINUM,428
3464,15791216,Mann,600,Germany,Male,43,8,133379.41,1,1,0,177378.66,1,1,2,DIAMOND,448
7685,15808223,Lea,615,Spain,Male,41,1,126773.43,1,1,1,55551.26,0,0,2,SILVER,774
4637,15630709,Castiglione,619,Germany,Female,31,2,56116.3,2,0,0,2181.94,0,0,2,GOLD,972
3417,15565806,Toosey,532,France,Male,38,9,0.0,2,0,0,30583.95,0,0,2,PLATINUM,396
8174,15568032,Moore,757,Germany,Male,31,1,127320.36,3,1,0,163170.32,0,0,5,PLATINUM,892
7983,15665129,Kapustin,545,Germany,Male,33,1,132527.9,2,0,1,107429.71,0,0,5,SILVER,898
689,15802741,Mitchel,625,France,Female,51,7,136294.97,1,1,0,38867.46,1,1,1,PLATINUM,833
7792,15570299,Martin,584,Germany,Female,31,6,152622.34,1,1,0,99298.8,0,0,5,DIAMOND,445
